"A","Name on ballot","Candidate

Sequence","H1","   Type
      Nominat-
            ion","Electoral
district","H2","Sex","Candidate's full name","Voter number","SourceFile"
"259 ","National Depth Allia-
nce","3 ","","Alliance","Al-Qadisiyah","","Male","          The winds of Abdullah Karim Al-Khazaali's dryn-
                                                 ess","1288 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","10 ","","Alliance","Dhi Qar","","Male","       Abdul Amir Hassan Ali Taiban the wo-
                                   rld","5047 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","33 ","","Alliance","The egg","","Male","       Ali Hasiran is jealous of Attiyah Al-
                                Jaari.","923 ","ElectionCandidates_Original.csv"
"262 ","Diwaniyah Flame","2 ","","Alliance","Al-Qadisiyah","","Male","       Amir Nafi Ghanem Abdul Hamza Alz-
                                 alzalıi","1309 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","100 ","","Alliance","Baghdad","","   female
 ","       Eithar Ahmed Mohammed Alwan Al-
                              Abbasi","4291 ","ElectionCandidates_Original.csv"
"314 ","Emmanuel Khoshaba Youkhana Al-
Qudani","1 ","","  Pe-
rson","Dohuk","","Male","       Emmanuel Khoshaba Youkhana Budakh Al-
                                      Qudani","4623 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","6 ","","Party","Sulaymaniyah","","Male","       Gharib Ahmed Mustafa Am-
                           iran","944 ","ElectionCandidates_Original.csv"
"245 ","Canon's secr-
ets","13 ","","Party","Dhi Qar","","Male","       Great, kind, generous, kind, kind, kind, kind","5351 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","2 ","","Party","Dhi Qar","","Male","       Hussam Fahd Sarrar, a young man from Sham
                                   Al-Badri","4986 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","66 ","","Party","Baghdad","","Male","       In the name of Muhammad Salumi Hamad Al-
                                      Aqidi","3784 ","ElectionCandidates_Original.csv"
"289 ","State Support Bloc","36 ","","Party","Dhi Qar","","   female
 ","       Meeting with Ali Jaber Ha-
                        ddad","5553 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","29 ","","Party","Nineveh","","Male","       Mohamed Hassan Ali Mahmoud Kh-
                                odhod","7030 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","12 ","","Alliance","Saladin","","   female
 ","       Muthanna Ayed Hassan Ibrahim Al-
                             Samarani","5722 ","ElectionCandidates_Original.csv"
"216 ","Kurdistan Democratic Party","4 ","","Party","Sulaymaniyah","","Male","       Sarkot Mohammed Mohammed Amir
                           N. Sarr Yif","938 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","15 ","","Alliance","Nineveh","","Male","      Abdul Razak's Khuzhan Faraz Al-
                        Mutaunary","6695 ","ElectionCandidates_Original.csv"
"211 ","National identity","59 ","","Party","Nineveh","","Male","      Abdullah Fatji Muhammad Ha-
                            sirn","6625 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","61 ","","Party","Nineveh","","Male","      Abdulrahman Hani Bashir Daoud Al-
                             Dabbagh","7061 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","14 ","","Alliance","Dhi Qar","","Male","      Ahmed Fayez Younis Fazaa Al-
                        Hamdani","5375 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","126 ","","Alliance","Baghdad","","Male","      Anwar Jafar Mohammad Javad Moh-
                       ammad Hasiran","2569 ","ElectionCandidates_Original.csv"
