"Category","File","Entries","LastModified","Notes"
"Processed Agent CSV","agent1_new.csv","2200","2025-10-13 3:53:02 AM","Copied to consolidation folder"
"Processed Agent CSV","agent2_new.csv","800","2025-10-13 3:53:16 AM","Copied to consolidation folder"
"Processed Agent CSV","agent3_new.csv","2000","2025-10-13 3:53:29 AM","Copied to consolidation folder"
"Processed Agent CSV","agent4_new.csv","2769","2025-10-13 3:53:42 AM","Copied to consolidation folder"
"Processed Agent CSV","agent1_stage.csv","1942","2025-10-13 6:23:07 PM","Copied to consolidation folder"
"Processed Agent CSV","agent2_cleaned.csv","1942","2025-10-13 6:08:20 PM","Copied to consolidation folder"
"Processed Agent CSV","agent1_new.csv","2200","2025-10-13 3:53:02 AM","Copied to consolidation folder"
"Processed Agent CSV","agent1_stage.csv","1942","2025-10-13 6:23:07 PM","Copied to consolidation folder"
"Processed Agent CSV","agent2_cleaned.csv","1942","2025-10-13 6:08:20 PM","Copied to consolidation folder"
"Processed Agent CSV","agent2_new.csv","800","2025-10-13 3:53:16 AM","Copied to consolidation folder"
"Processed Agent CSV","agent2_subset_raw.csv","0","2025-10-13 5:42:42 PM","Copied to consolidation folder"
"Processed Agent CSV","agent3_new.csv","2000","2025-10-13 3:53:29 AM","Copied to consolidation folder"
"Processed Agent CSV","agent4_new.csv","2769","2025-10-13 3:53:42 AM","Copied to consolidation folder"
"Processed Agent CSV","agent1.csv","1942","2025-10-13 3:27:18 AM","Copied to consolidation folder"
"Processed Agent CSV","agent2.csv","1942","2025-10-13 3:25:33 AM","Copied to consolidation folder"
"Processed Agent CSV","agent3.csv","1942","2025-10-13 3:27:22 AM","Copied to consolidation folder"
"Processed Agent CSV","agent4.csv","1943","2025-10-13 3:27:24 AM","Copied to consolidation folder"
"MissingGold Structure","missinggold-fresh","107521","2025-10-06 10:42:41 AM","Copied recursively for reference"
